Temps (s),Consigne fleche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe fleche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse verin 1 (mm/s),Consigne vitesse verin 2 (mm/s),Consigne vitesse verin 3 (mm/s),Vitesse verin 1 (mm/s),Vitesse verin 2 (mm/s),Vitesse verin 3 (mm/s),Longueur verin 1 (mm),Longueur verin 2 (mm),Longueur verin 3 (mm),Force verin 1 (N),Force verin 2 (N),Force verin 3 (N),Courant verin 1 (A),Courant verin 2 (A),Courant verin 3 (A),Tension verin 1 (V),Tension verin 2 (V),Tension verin 3 (V),Puissance verin 1 (W),Puissance verin 2 (W),Puissance verin 3 (W),Energie verin 1 (J),Energie verin 2 (J),Energie verin 3 (J),Puissance mecanique verin 1 (W),Puissance mecanique verin 2 (W),Puissance mecanique verin 3 (W),Angle moteur verin 1 (rad),Angle moteur verin 2 (rad),Angle moteur verin 3 (rad),Vitesse moteur verin 1 (rad/s),Vitesse moteur verin 2 (rad/s),Vitesse moteur verin 3 (rad/s),Butee fleche,Butee balancier,Butee godet,Butee sol
0.118,30.428,-63.421,72.000,78.393,-79.488,70.323,77.342,-1.403,3.789,0.001,0.001,700.0,100.0,35.0,404.5,503.6,10.8,10.000,-10.000,-2.516,2.257,-2.246,-0.436,2.2,11.6,0.1,-58.3,-112.6,-7.1,0.265,-0.295,-0.137,18.78,-18.85,-6.74,4.28,4.76,0.95,0.25,0.28,0.07,0.10,0.20,0.00,97.563,523.076,2.320,101.541,-101.043,-19.595,0,0,0,0
0.126,30.428,-63.421,72.000,78.272,-79.158,70.323,77.342,-1.708,4.622,-0.000,-0.000,700.0,100.0,35.0,405.6,504.5,11.0,10.000,-10.000,-2.515,2.753,-2.741,-0.556,2.4,11.4,0.1,-60.5,-114.1,-7.6,0.294,-0.330,-0.138,19.00,-19.08,-6.90,4.97,5.56,0.93,0.35,0.39,0.09,0.13,0.25,0.00,106.329,514.349,2.314,123.837,-123.325,-25.002,0,0,0,0
0.150,30.428,-63.421,72.000,78.150,-78.822,70.323,77.343,-2.017,5.467,-0.001,-0.001,700.0,100.0,35.0,406.7,505.4,11.3,10.000,-10.000,-2.516,3.254,-3.243,-0.678,2.6,11.2,0.1,-61.1,-114.1,-7.5,0.324,-0.364,-0.138,19.11,-19.19,-6.98,5.60,6.30,0.95,0.46,0.52,0.11,0.17,0.31,0.00,115.227,505.485,2.324,146.400,-145.882,-30.508,0,0,0,0
0.166,30.428,-63.421,72.000,78.026,-78.483,70.322,77.343,-2.327,6.317,-0.003,-0.002,700.0,100.0,35.0,407.8,506.3,11.5,10.000,-10.000,-2.517,3.759,-3.747,-0.802,2.8,11.0,0.1,-61.7,-114.1,-7.5,0.352,-0.398,-0.139,19.16,-19.23,-7.04,6.19,6.99,0.97,0.59,0.66,0.13,0.20,0.37,0.01,124.202,496.549,2.335,169.093,-168.567,-36.075,0,0,0,0
0.197,30.428,-63.421,72.000,77.901,-78.142,70.322,77.343,-2.638,7.171,-0.004,-0.003,700.0,100.0,35.0,409.0,507.2,11.7,10.000,-10.000,-2.517,4.264,-4.252,-0.926,3.0,10.8,0.1,-62.3,-114.2,-7.5,0.380,-0.431,-0.139,19.16,-19.24,-7.07,6.74,7.65,0.98,0.72,0.81,0.15,0.23,0.43,0.01,133.208,487.582,2.345,191.824,-191.291,-41.681,0,0,0,0
0.213,30.428,-63.421,72.000,77.777,-77.800,70.321,77.343,-2.949,8.026,-0.005,-0.004,700.0,100.0,35.0,410.1,508.1,11.9,10.000,-10.000,-2.518,4.769,-4.757,-1.052,3.2,10.6,0.1,-62.8,-114.4,-7.5,0.408,-0.464,-0.139,19.15,-19.23,-7.09,7.28,8.29,0.98,0.87,0.97,0.17,0.27,0.49,0.01,142.219,478.610,2.355,214.545,-214.007,-47.311,0,0,0,0
0.229,30.428,-63.421,72.000,77.653,-77.458,70.321,77.343,-3.259,8.882,-0.006,-0.004,700.0,100.0,35.0,411.2,509.0,12.1,10.000,-10.000,-2.519,5.273,-5.261,-1.177,3.4,10.4,0.1,-63.3,-114.5,-7.4,0.436,-0.497,-0.140,19.13,-19.21,-7.11,7.81,8.92,0.99,1.02,1.15,0.19,0.30,0.54,0.01,151.222,469.645,2.365,237.233,-236.691,-52.956,0,0,0,0
0.245,30.428,-63.421,72.000,77.529,-77.116,70.323,77.343,-3.570,9.738,0.040,0.031,700.0,100.0,35.0,412.3,509.9,12.3,10.000,-10.000,-2.516,5.777,-5.765,-1.281,3.6,10.2,0.1,-62.2,-112.8,-6.7,0.463,-0.530,-0.123,19.11,-19.19,-7.12,8.34,9.55,0.99,1.19,1.34,0.21,0.33,0.60,0.01,160.211,460.693,2.327,259.882,-259.337,-57.635,0,0,0,0
0.276,30.428,-63.421,72.000,77.405,-76.773,70.323,77.343,-3.879,10.595,0.035,0.027,700.0,100.0,35.0,413.3,510.8,12.6,10.000,-10.000,-2.516,6.279,-6.267,-1.407,3.8,10.0,0.1,-64.1,-114.9,-7.4,0.491,-0.563,-0.125,19.09,-19.17,-7.18,8.86,10.17,0.88,1.37,1.55,0.23,0.36,0.65,0.01,169.186,451.754,2.321,282.492,-281.947,-63.290,0,0,0,0
0.291,30.428,-63.421,72.000,77.281,-76.430,70.321,77.343,-4.188,11.452,0.030,0.023,700.0,100.0,35.0,414.4,511.7,12.8,10.000,-10.000,-2.519,6.781,-6.769,-1.533,4.0,9.8,0.1,-64.6,-115.0,-7.3,0.519,-0.596,-0.127,19.07,-19.16,-7.19,9.38,10.79,0.90,1.56,1.76,0.24,0.40,0.72,0.01,178.147,442.828,2.371,305.069,-304.525,-68.966,0,0,0,0
0.307,30.428,-63.421,72.000,77.157,-76.087,70.323,77.343,-4.497,12.311,0.023,0.018,700.0,100.0,35.0,415.5,512.6,13.0,10.000,-10.000,-2.516,7.282,-7.270,-1.660,4.2,9.6,0.1,-65.0,-115.2,-7.3,0.547,-0.629,-0.129,19.06,-19.14,-7.26,9.90,11.42,0.91,1.75,1.99,0.26,0.44,0.78,0.01,187.096,433.912,2.324,327.620,-327.077,-74.669,0,0,0,0
0.338,30.428,-63.421,72.000,77.034,-75.743,70.323,77.343,-4.806,13.171,0.052,0.041,700.0,100.0,35.0,416.6,513.5,13.2,10.000,-10.000,-2.515,7.783,-7.771,-1.766,4.4,9.4,0.1,-64.1,-113.8,-6.7,0.575,-0.662,-0.119,19.05,-19.13,-7.28,10.42,12.04,0.94,1.96,2.23,0.28,0.47,0.84,0.01,196.037,425.005,2.311,350.151,-349.609,-79.466,0,0,0,0
0.344,30.428,-63.421,72.000,76.910,-75.399,70.322,77.344,-5.115,14.033,0.046,0.036,700.0,100.0,35.0,417.6,514.4,13.4,10.000,-10.000,-2.517,8.284,-8.272,-1.895,4.6,9.2,0.1,-65.8,-115.6,-7.2,0.602,-0.695,-0.121,19.05,-19.13,-7.32,10.95,12.67,0.86,2.18,2.49,0.30,0.50,0.88,0.01,204.972,416.104,2.339,372.668,-372.127,-85.250,0,0,0,0
0.369,30.428,-63.421,72.000,76.787,-75.054,70.324,77.344,-5.423,14.896,0.040,0.031,700.0,100.0,35.0,418.7,515.3,13.7,10.000,-10.000,-2.514,8.784,-8.772,-2.006,4.8,9.1,0.1,-66.3,-115.8,-7.2,0.630,-0.728,-0.123,19.04,-19.12,-7.35,11.47,13.30,0.88,2.41,2.75,0.32,0.55,0.96,0.01,213.903,407.208,2.290,395.176,-394.635,-90.240,0,0,0,0
0.385,30.428,-63.421,72.000,76.663,-74.708,70.322,77.344,-5.732,15.761,0.034,0.027,700.0,100.0,35.0,419.7,516.2,13.9,10.000,-10.000,-2.517,9.284,-9.272,-2.136,5.0,8.9,0.1,-66.7,-116.0,-7.2,0.658,-0.762,-0.125,19.04,-19.12,-7.36,12.00,13.93,0.90,2.65,3.03,0.33,0.58,1.02,0.01,222.830,398.314,2.347,417.678,-417.136,-96.075,0,0,0,0
0.417,30.428,-63.421,72.000,76.540,-74.362,70.324,77.344,-5.922,16.313,0.029,0.022,700.0,100.0,35.0,420.8,517.1,14.1,10.000,-10.000,-2.514,9.592,-9.582,-2.231,5.2,8.7,0.1,-67.1,-116.2,-7.1,0.624,-0.729,-0.067,19.04,-19.12,-7.39,12.53,14.56,0.92,2.90,3.32,0.35,0.62,1.08,0.02,231.756,389.423,2.293,431.500,-431.077,-100.356,0,0,0,0
0.424,30.428,-63.421,72.000,76.416,-74.015,70.322,77.344,-6.043,16.681,0.024,0.018,700.0,100.0,35.0,421.8,518.0,14.3,10.000,-10.000,-2.517,9.790,-9.784,-2.321,5.3,8.5,0.1,-67.6,-116.4,-7.1,0.598,-0.703,0.009,19.04,-19.12,-7.38,11.89,13.94,0.49,3.14,3.60,0.36,0.64,1.11,0.02,240.681,380.533,2.345,440.437,-440.160,-104.421,0,0,0,0
0.449,30.428,-63.421,72.000,76.293,-73.667,70.324,77.344,-6.113,16.912,0.027,0.021,700.0,100.0,35.0,422.9,518.9,14.6,10.000,-10.000,-2.514,9.910,-9.906,-2.367,5.5,8.3,0.1,-68.0,-116.6,-7.1,0.581,-0.685,0.010,19.04,-19.12,-7.40,11.39,13.44,0.06,3.37,3.87,0.36,0.66,1.14,0.02,249.605,371.644,2.287,445.820,-445.666,-106.482,0,0,0,0
0.465,30.428,-63.421,72.000,76.169,-73.318,70.322,77.344,-6.151,17.054,0.029,0.023,700.0,100.0,35.0,423.9,519.8,14.8,10.000,-10.000,-2.517,9.977,-9.975,-2.396,5.7,8.1,0.1,-68.4,-116.8,-7.1,0.570,-0.675,0.011,19.04,-19.12,-7.40,11.05,13.10,0.07,3.59,4.13,0.37,0.67,1.16,0.02,258.529,362.755,2.337,448.843,-448.745,-107.811,0,0,0,0
0.497,30.428,-63.421,72.000,76.046,-72.967,70.324,77.344,-6.172,17.146,0.052,0.040,700.0,100.0,35.0,424.9,520.8,15.0,10.000,-10.000,-2.514,10.012,-10.010,-2.402,5.9,7.9,0.1,-67.7,-115.6,-6.5,0.564,-0.669,0.019,19.04,-19.12,-7.39,10.86,12.91,0.08,3.80,4.39,0.37,0.68,1.17,0.02,267.453,353.867,2.292,450.414,-450.342,-108.072,0,0,0,0
0.505,30.428,-63.421,72.000,75.922,-72.616,70.323,77.344,-6.182,17.209,0.025,0.019,700.0,100.0,35.0,426.0,521.7,15.2,10.000,-10.000,-2.516,10.027,-10.026,-2.440,6.1,7.7,0.1,-69.3,-117.3,-7.0,0.560,-0.666,0.009,19.04,-19.12,-7.40,10.74,12.79,0.14,4.02,4.64,0.37,0.68,1.16,0.02,276.378,344.978,2.324,451.108,-451.054,-109.768,0,0,0,0
0.529,30.428,-63.421,72.000,75.799,-72.264,70.321,77.344,-6.185,17.257,0.021,0.016,700.0,100.0,35.0,427.0,522.6,15.5,10.000,-10.000,-2.519,10.032,-10.031,-2.450,6.3,7.5,0.1,-69.7,-117.5,-7.0,0.558,-0.664,0.008,19.03,-19.12,-7.37,10.67,12.73,0.07,4.23,4.90,0.37,0.69,1.18,0.02,285.302,336.090,2.371,451.306,-451.264,-110.229,0,0,0,0
0.561,30.428,-63.421,72.000,75.675,-71.911,70.323,77.344,-6.186,17.297,0.017,0.013,700.0,100.0,35.0,428.0,523.5,15.7,10.000,-10.000,-2.515,10.030,-10.029,-2.458,6.5,7.3,0.1,-70.2,-117.8,-6.9,0.557,-0.663,0.006,19.03,-19.12,-7.40,10.63,12.69,0.06,4.45,5.15,0.37,0.70,1.18,0.02,294.227,327.202,2.310,451.238,-451.199,-110.596,0,0,0,0
0.566,30.428,-63.421,72.000,75.552,-71.557,70.321,77.344,-6.184,17.333,0.014,0.010,700.0,100.0,35.0,429.0,524.4,15.9,10.000,-10.000,-2.518,10.026,-10.025,-2.465,6.7,7.1,0.1,-70.6,-118.0,-6.9,0.556,-0.663,0.005,19.03,-19.12,-7.38,10.60,12.68,0.05,4.66,5.41,0.37,0.70,1.18,0.02,303.152,318.314,2.357,451.040,-451.007,-110.899,0,0,0,0
0.591,30.428,-63.421,72.000,75.428,-71.202,70.324,77.344,-6.183,17.369,0.010,0.007,700.0,100.0,35.0,430.0,525.4,16.2,10.000,-10.000,-2.514,10.021,-10.020,-2.468,6.9,6.9,0.1,-71.0,-118.3,-6.9,0.556,-0.663,0.003,19.03,-19.12,-7.40,10.59,12.67,0.04,4.87,5.66,0.37,0.71,1.18,0.02,312.078,309.426,2.296,450.804,-450.775,-111.037,0,0,0,0
0.606,30.428,-63.421,72.000,75.304,-70.845,70.322,77.344,-6.181,17.406,0.006,0.004,700.0,100.0,35.0,431.0,526.3,16.4,10.000,-10.000,-2.517,10.016,-10.015,-2.474,7.1,6.7,0.1,-71.5,-118.5,-6.8,0.556,-0.663,0.002,19.03,-19.12,-7.38,10.58,12.67,0.03,5.08,5.91,0.37,0.71,1.18,0.02,321.003,300.538,2.343,450.578,-450.552,-111.281,0,0,0,0
0.638,30.428,-63.421,72.000,75.181,-70.488,70.324,77.345,-6.180,17.445,0.002,0.001,700.0,100.0,35.0,432.0,527.2,16.6,10.000,-10.000,-2.513,10.011,-10.011,-2.453,7.3,6.5,0.1,-71.9,-118.8,-6.8,0.556,-0.663,0.001,19.03,-19.12,-7.38,10.58,12.68,0.02,5.29,6.17,0.38,0.72,1.19,0.02,329.929,291.650,2.282,450.386,-450.360,-110.334,0,0,0,0
0.646,30.428,-63.421,72.000,75.057,-70.129,70.322,77.345,-6.179,17.487,-0.049,-0.038,700.0,100.0,35.0,433.0,528.2,16.9,10.000,-10.000,-2.516,10.008,-10.007,-2.479,7.5,6.3,0.1,-72.3,-119.0,-6.8,0.556,-0.664,-0.018,19.03,-19.12,-7.39,10.58,12.68,0.00,5.50,6.42,0.38,0.72,1.19,0.02,338.855,282.762,2.330,450.232,-450.207,-111.531,0,0,0,0
0.670,30.428,-63.421,72.000,74.933,-69.770,70.321,77.344,-6.179,17.531,-0.012,-0.009,700.0,100.0,35.0,433.9,529.1,17.1,10.000,-10.000,-2.519,10.005,-10.005,-2.473,7.7,6.1,0.1,-76.1,-123.5,-8.2,0.556,-0.664,-0.138,19.03,-19.12,-7.36,10.58,12.69,0.13,5.72,6.67,0.38,0.72,1.19,0.02,347.781,273.874,2.377,450.118,-450.090,-111.245,0,0,0,0
0.686,30.428,-63.421,72.000,74.809,-69.409,70.323,77.345,-6.179,17.577,-0.012,-0.009,700.0,100.0,35.0,434.9,530.1,17.3,10.000,-10.000,-2.515,10.004,-10.003,-2.477,7.9,5.9,0.1,-73.2,-119.6,-6.7,0.556,-0.664,-0.138,19.03,-19.12,-7.39,10.58,12.69,1.02,5.93,6.93,0.40,0.76,1.24,0.02,356.707,264.986,2.317,450.036,-450.005,-111.440,0,0,0,0
0.716,30.428,-63.421,72.000,74.685,-69.047,70.321,77.345,-6.180,17.625,-0.010,-0.008,700.0,100.0,35.0,435.9,531.0,17.6,10.000,-10.000,-2.518,10.002,-10.002,-2.481,8.1,5.7,0.1,-73.6,-119.9,-6.7,0.555,-0.665,-0.138,19.03,-19.12,-7.37,10.57,12.70,1.02,6.14,7.18,0.42,0.73,1.20,0.02,365.633,256.098,2.364,449.981,-449.945,-111.597,0,0,0,0
0.732,30.428,-63.421,72.000,74.561,-68.683,70.324,77.345,-6.181,17.676,-0.044,-0.034,700.0,100.0,35.0,436.8,532.0,17.8,10.000,-10.000,-2.515,10.002,-10.001,-2.504,8.3,5.5,0.1,-74.1,-120.2,-6.6,0.555,-0.665,-0.150,19.03,-19.12,-7.40,10.57,12.71,1.01,6.35,7.44,0.44,0.74,1.20,0.02,374.560,247.211,2.304,449.945,-449.907,-112.632,0,0,0,0
0.747,30.428,-63.421,72.000,74.438,-68.318,70.322,77.345,-6.182,17.726,-0.043,-0.033,700.0,100.0,35.0,437.8,532.9,18.1,10.000,-9.796,-2.518,10.001,-9.999,-2.505,8.5,5.3,0.1,-74.1,-119.8,-6.5,0.555,-0.663,-0.150,19.03,-19.04,-7.38,10.57,12.71,1.11,6.56,7.69,0.46,0.74,1.20,0.02,383.487,238.324,2.351,449.923,-449.842,-112.714,0,0,0,0
0.778,30.428,-63.421,72.000,74.314,-67.956,70.324,77.345,-6.184,17.759,-0.042,-0.032,700.0,100.0,35.0,438.7,533.8,18.3,10.000,-9.071,-2.514,10.001,-9.985,-2.519,8.7,5.1,0.1,-73.8,-119.0,-6.4,0.555,-0.659,-0.149,19.03,-18.60,-7.40,10.56,12.63,1.10,6.77,7.94,0.48,0.74,1.20,0.02,392.413,229.528,2.290,449.909,-449.210,-113.315,0,0,0,0
0.785,30.428,-63.421,72.000,74.190,-67.603,70.322,77.345,-6.185,17.759,-0.041,-0.032,700.0,100.0,35.0,439.7,534.7,18.5,10.000,-8.365,-2.517,10.001,-9.951,-2.520,8.9,4.9,0.1,-73.7,-118.5,-6.2,0.555,-0.654,-0.149,19.03,-17.94,-7.38,10.56,12.27,1.10,6.98,8.19,0.51,0.74,1.19,0.02,401.339,220.989,2.339,449.902,-447.653,-113.351,0,0,0,0
0.809,30.428,-63.421,72.000,74.066,-67.264,70.324,77.345,-6.187,17.717,-0.018,-0.014,700.0,100.0,35.0,440.6,535.5,18.7,10.000,-7.686,-2.514,10.001,-9.890,-2.507,9.1,4.7,0.1,-72.5,-116.6,-5.6,0.555,-0.646,-0.141,19.03,-17.09,-7.37,10.56,11.73,1.10,7.19,8.42,0.53,0.74,1.18,0.02,410.265,212.826,2.293,449.899,-444.932,-112.777,0,0,0,0
0.825,30.428,-63.421,72.000,73.942,-66.943,70.323,77.345,-6.188,17.620,-0.018,-0.014,700.0,100.0,35.0,441.6,536.3,18.9,10.000,-7.046,-2.516,10.000,-9.800,-2.507,9.3,4.6,0.1,-73.5,-117.6,-6.0,0.554,-0.637,-0.141,19.03,-16.07,-7.39,10.55,11.05,1.04,7.41,8.64,0.55,0.72,1.15,0.01,419.191,205.131,2.325,449.897,-440.890,-112.785,0,0,0,0
0.855,30.428,-63.421,72.000,73.817,-66.646,70.321,77.345,-6.190,17.461,-0.018,-0.014,700.0,100.0,35.0,442.6,536.8,19.1,10.000,-6.450,-2.519,10.000,-9.679,-2.519,9.5,4.4,0.1,-77.8,-122.8,-7.6,0.554,-0.628,-0.274,19.03,-14.96,-7.36,10.55,10.24,1.04,7.62,8.85,0.57,0.74,1.15,0.02,428.117,198.004,2.373,449.896,-435.414,-113.339,0,0,0,0
0.871,30.428,-63.421,72.000,73.693,-66.372,70.323,77.345,-6.191,17.241,-0.018,-0.014,700.0,100.0,35.0,443.5,537.3,19.3,10.000,-5.902,-2.515,10.000,-9.525,-2.519,9.7,4.3,0.1,-74.4,-118.1,-6.0,0.554,-0.619,-0.274,19.03,-13.84,-7.39,10.55,9.40,2.02,7.83,9.04,0.61,0.78,1.19,0.02,437.043,191.463,2.312,449.896,-428.526,-113.325,0,0,0,0
0.886,30.428,-63.421,72.000,73.569,-66.121,70.321,77.345,-6.193,16.961,-0.040,-0.031,700.0,100.0,35.0,444.5,537.6,19.4,10.000,-5.401,-2.518,10.000,-9.342,-2.541,9.9,4.1,0.1,-74.9,-118.5,-6.0,0.554,-0.610,-0.282,19.03,-12.77,-7.37,10.54,8.56,2.03,8.04,9.21,0.65,0.74,1.12,0.02,445.969,185.505,2.359,449.896,-420.279,-114.292,0,0,0,0
0.917,30.428,-63.421,72.000,73.445,-65.894,70.324,77.345,-6.195,16.623,-0.040,-0.031,700.0,100.0,35.0,445.5,537.9,19.5,10.000,-4.946,-2.514,10.000,-9.131,-2.538,10.1,4.0,0.1,-75.5,-119.0,-6.0,0.554,-0.602,-0.283,19.03,-11.79,-7.40,10.54,7.79,2.08,8.25,9.36,0.69,0.75,1.11,0.02,454.896,180.101,2.298,449.896,-410.765,-114.184,0,0,0,0
0.932,30.428,-63.421,72.000,73.321,-65.687,70.322,77.345,-6.196,16.233,-0.040,-0.031,700.0,100.0,35.0,446.6,538.0,19.6,10.000,-4.532,-2.517,10.000,-8.894,-2.538,10.3,3.9,0.1,-76.3,-119.7,-6.0,0.553,-0.594,-0.283,19.03,-10.92,-7.38,10.54,7.09,2.09,8.46,9.51,0.73,0.76,1.09,0.02,463.823,175.205,2.346,449.897,-400.100,-114.184,0,0,0,0
0.947,30.428,-63.421,72.000,73.196,-65.498,70.324,77.345,-6.198,15.800,-0.040,-0.031,700.0,100.0,35.0,447.6,538.0,19.6,10.000,-4.155,-2.513,10.001,-8.634,-2.520,10.5,3.8,0.1,-77.1,-120.5,-6.1,0.553,-0.588,-0.283,19.03,-10.16,-7.39,10.53,6.49,2.08,8.67,9.64,0.78,0.76,1.06,0.02,472.751,170.749,2.284,449.899,-388.417,-113.355,0,0,0,0
0.977,30.428,-63.421,72.000,73.072,-65.325,70.322,77.345,-6.200,15.328,-0.040,-0.031,700.0,100.0,35.0,448.6,537.9,19.7,10.000,-3.808,-2.516,10.001,-8.354,-2.520,10.7,3.7,0.1,-77.6,-120.8,-6.1,0.553,-0.582,-0.283,19.03,-9.48,-7.38,10.53,5.97,2.09,8.88,9.76,0.82,0.77,1.04,0.02,481.679,166.660,2.332,449.900,-375.839,-113.357,0,0,0,0
0.984,30.428,-63.421,72.000,72.948,-65.165,70.321,77.345,-6.202,14.820,0.029,0.023,700.0,100.0,35.0,449.7,537.8,19.7,10.000,-3.489,-2.518,10.001,-8.056,-2.497,10.9,3.6,0.1,-76.4,-118.9,-5.3,0.553,-0.577,-0.257,19.03,-8.89,-7.36,10.53,5.52,2.09,9.09,9.87,0.86,0.78,1.01,0.02,490.607,162.911,2.362,449.901,-362.427,-112.329,0,0,0,0
1.009,30.428,-63.421,72.000,72.823,-65.018,70.323,77.345,-6.204,14.281,0.029,0.023,700.0,100.0,35.0,450.8,537.5,19.7,10.000,-3.195,-2.516,10.001,-7.742,-2.497,11.1,3.5,0.1,-79.0,-121.8,-6.1,0.553,-0.572,-0.257,19.03,-8.37,-7.39,10.52,5.13,1.89,9.30,9.97,0.90,0.76,0.96,0.01,499.535,159.459,2.319,449.902,-348.277,-112.327,0,0,0,0
1.025,30.428,-63.421,72.000,72.699,-64.881,70.321,77.345,-6.205,13.716,0.029,0.023,700.0,100.0,35.0,451.8,537.3,19.7,10.000,-2.922,-2.519,10.001,-7.412,-2.523,11.3,3.5,0.1,-79.5,-122.1,-6.1,0.552,-0.567,-0.257,19.03,-7.91,-7.37,10.52,4.79,1.90,9.51,10.06,0.93,0.79,0.94,0.02,508.464,156.253,2.366,449.903,-333.466,-113.486,0,0,0,0
1.055,30.428,-63.421,72.000,72.574,-64.754,70.324,77.345,-6.207,13.122,0.029,0.023,700.0,100.0,35.0,452.9,536.9,19.8,10.000,-2.668,-2.515,10.001,-7.069,-2.522,11.5,3.4,0.1,-80.0,-122.2,-6.1,0.552,-0.563,-0.257,19.03,-7.50,-7.39,10.51,4.49,1.89,9.72,10.15,0.97,0.80,0.90,0.02,517.393,153.280,2.306,449.904,-318.023,-113.456,0,0,0,0
1.071,30.428,-63.421,72.000,72.450,-64.637,70.322,77.345,-6.209,12.502,-0.008,-0.006,700.0,100.0,35.0,454.0,536.6,19.7,10.000,-2.433,-2.518,10.001,-6.713,-2.533,11.7,3.3,0.1,-80.6,-122.6,-6.1,0.552,-0.559,-0.137,19.03,-7.13,-7.37,10.51,4.22,1.90,9.93,10.24,1.01,0.80,0.86,0.02,526.322,150.540,2.353,449.904,-301.980,-113.949,0,0,0,0
1.087,30.428,-63.421,72.000,72.325,-64.529,70.324,77.345,-6.211,11.857,-0.008,-0.006,700.0,100.0,35.0,455.1,536.1,19.7,10.000,-2.217,-2.514,10.001,-6.344,-2.527,11.9,3.3,0.1,-81.0,-122.6,-6.1,0.552,-0.554,-0.137,19.03,-6.80,-7.39,10.50,3.98,1.01,10.14,10.32,1.03,0.81,0.82,0.02,535.251,148.015,2.292,449.905,-285.384,-113.667,0,0,0,0
1.118,30.428,-63.421,72.000,72.200,-64.430,70.322,77.345,-6.213,11.185,-0.008,-0.006,700.0,100.0,35.0,456.2,535.7,19.7,10.000,-2.019,-2.517,10.001,-5.963,-2.527,12.1,3.2,0.1,-81.5,-122.9,-6.1,0.551,-0.550,-0.137,19.03,-6.51,-7.38,10.50,3.77,1.01,10.35,10.39,1.05,0.81,0.78,0.02,544.180,145.710,2.340,449.905,-268.246,-113.677,0,0,0,0
1.124,30.428,-63.421,72.000,72.076,-64.340,70.324,77.345,-6.215,10.489,0.003,0.002,700.0,100.0,35.0,457.3,535.1,19.7,10.000,-1.839,-2.513,10.001,-5.571,-2.504,12.3,3.2,0.1,-81.0,-121.8,-5.7,0.551,-0.546,-0.133,19.03,-6.25,-7.38,10.49,3.58,1.01,10.56,10.46,1.07,0.82,0.73,0.02,553.109,143.616,2.284,449.906,-250.615,-112.644,0,0,0,0
1.149,30.428,-63.421,72.000,71.951,-64.258,70.323,77.345,-6.217,9.772,0.003,0.002,700.0,100.0,35.0,458.4,534.6,19.6,10.000,-1.675,-2.516,10.001,-5.170,-2.504,12.5,3.1,0.1,-82.7,-123.5,-6.2,0.551,-0.544,-0.133,19.03,-6.03,-7.39,10.49,3.41,0.98,10.77,10.53,1.09,0.81,0.68,0.01,562.039,141.708,2.327,449.907,-232.581,-112.653,0,0,0,0
1.165,30.428,-63.421,72.000,71.826,-64.183,70.321,77.345,-6.219,9.055,0.003,0.002,700.0,100.0,35.0,459.5,534.0,19.6,10.000,-1.525,-2.519,10.001,-4.773,-2.510,12.7,3.1,0.1,-87.2,-128.8,-7.8,0.551,-0.544,-0.267,19.03,-5.83,-7.36,10.48,3.28,0.98,10.98,10.60,1.11,0.83,0.64,0.02,570.969,139.965,2.374,449.908,-214.726,-112.916,0,0,0,0
1.196,30.428,-63.421,72.000,71.701,-64.115,70.323,77.345,-6.221,8.352,0.003,0.002,700.0,100.0,35.0,460.6,533.3,19.5,10.000,-1.388,-2.515,10.001,-4.389,-2.510,12.9,3.1,0.1,-83.9,-124.0,-6.2,0.550,-0.547,-0.267,19.03,-5.65,-7.39,10.48,3.17,1.97,11.19,10.66,1.15,0.87,0.61,0.02,579.899,138.376,2.314,449.910,-197.436,-112.912,0,0,0,0
1.211,30.428,-63.421,72.000,71.577,-64.052,70.321,77.345,-6.224,7.677,-0.019,-0.015,700.0,100.0,35.0,461.7,532.6,19.5,10.000,-1.263,-2.518,10.001,-4.023,-2.532,13.1,3.0,0.1,-84.4,-124.2,-6.2,0.550,-0.551,-0.275,19.03,-5.49,-7.37,10.47,3.09,1.97,11.40,10.72,1.19,0.84,0.54,0.02,588.829,136.925,2.361,449.911,-180.983,-113.891,0,0,0,0
1.227,30.428,-63.421,72.000,71.452,-63.995,70.324,77.345,-6.226,7.041,-0.019,-0.015,700.0,100.0,35.0,462.9,531.9,19.4,10.000,-1.149,-2.514,10.001,-3.680,-2.530,13.3,3.0,0.1,-85.0,-124.4,-6.3,0.550,-0.557,-0.275,19.03,-5.35,-7.40,10.47,3.03,2.03,11.61,10.78,1.23,0.84,0.50,0.02,597.759,135.598,2.300,449.913,-165.555,-113.827,0,0,0,0
1.257,30.428,-63.421,72.000,71.327,-63.943,70.322,77.345,-6.228,6.453,-0.019,-0.015,700.0,100.0,35.0,464.0,531.2,19.3,10.000,-1.044,-2.517,10.001,-3.363,-2.530,13.5,3.0,0.1,-85.5,-124.6,-6.3,0.549,-0.564,-0.141,19.03,-5.22,-7.38,10.46,2.98,2.03,11.82,10.84,1.27,0.85,0.46,0.02,606.690,134.381,2.348,449.916,-151.291,-113.838,0,0,0,0
