Temps (s);Angle moteur (°);Angle vantail (°);Couple moteur (Nm);Couple vantail (Nm)
0,118556;16,20000076;0,99000001;197;274
0,11934;16,39999962;0,99000001;196;274
0,120124;16,60000038;1,320000052;198;274
0,120908;16,39999962;0,99000001;200;274
0,121696;16,39999962;1,320000052;200;273
0,122476;16,20000076;1,649999976;196;273
0,12326;16,60000038;0,99000001;198;273
0,124044;16,20000076;0,99000001;197;274
0,124832;16,60000038;0,660000026;196;272
0,125612;16,60000038;0,99000001;199;272
0,126396;16,39999962;0,99000001;197;273
0,127188;16,39999962;0,99000001;196;274
0,127972;16,39999962;0,660000026;197;274
0,128756;16,79999924;1,320000052;198;275
0,12954;16,39999962;1,320000052;200;273
0,130324;16,20000076;1,320000052;198;274
0,131116;16,60000038;0,660000026;197;274
0,131904;16,60000038;0,99000001;199;271
0,132684;16,39999962;0,99000001;195;273
0,133476;16,39999962;0,660000026;196;274
0,13426;16,60000038;0,660000026;200;274
0,135048;16,39999962;0,330000013;198;273
0,135828;16,39999962;0,99000001;200;272
0,136612;16,20000076;1,320000052;199;275
0,137404;16,60000038;0,660000026;198;274
0,138188;16,60000038;0,99000001;202;273
0,138972;16,39999962;0,99000001;199;278
0,139756;16,39999962;0,99000001;198;273
0,14054;16,20000076;1,649999976;198;273
0,141324;16,20000076;1,320000052;197;274
0,142108;16,20000076;1,320000052;197;276
0,142892;16,60000038;0,660000026;198;274
0,143676;16,39999962;0,99000001;199;272
0,14446;16;0,99000001;198;272
0,145248;16,20000076;0,99000001;198;273
0,146028;16,20000076;0,99000001;198;273
0,146812;16,20000076;1,320000052;197;275
0,147596;16,60000038;0,660000026;197;273
0,148384;16,60000038;0,99000001;199;272
0,149164;16,39999962;0,99000001;198;273
0,149948;16,20000076;1,649999976;197;274
0,15074;16,60000038;0,660000026;197;274
0,151524;16,39999962;1,320000052;199;274
0,152308;16,39999962;0,99000001;200;273
0,153092;16;0,99000001;198;273
0,153876;16,20000076;0,99000001;197;274
0,154668;16,60000038;1,320000052;198;272
0,155456;16,39999962;0,99000001;199;271
0,156236;16,20000076;1,320000052;199;274
0,157028;16,60000038;1,320000052;199;274
0,157812;16,60000038;0,99000001;198;272
0,1586;16,39999962;0,99000001;198;273
0,15938;16,20000076;0,99000001;198;273
0,160164;16,20000076;1,649999976;198;275
0,160956;16,60000038;1,320000052;201;273
0,16174;16,39999962;1,649999976;199;272
0,162524;16,20000076;1,320000052;198;272
0,163308;16,20000076;1,320000052;198;273
0,164092;16,20000076;0,99000001;193;272
0,164876;16,39999962;0,99000001;197;273
0,16566;16,60000038;0,660000026;197;272
0,166444;16,39999962;0,99000001;198;272
0,167228;16,39999962;1,320000052;200;271
0,168012;16,20000076;0,99000001;198;272
0,1688;16,20000076;1,649999976;197;271
0,16958;16,20000076;0,99000001;198;275
0,170364;16,60000038;0,660000026;205;274
0,171148;16,60000038;1,320000052;199;273
0,171936;16,39999962;0,99000001;201;272
0,172716;16;1,649999976;199;273
0,1735;16,20000076;0,99000001;199;274
0,174292;16,60000038;0,660000026;199;274
0,175076;16,60000038;0,99000001;200;272
0,17586;16;0,99000001;200;273
0,176644;16,20000076;0,99000001;197;273
0,177428;16,20000076;0,99000001;199;274
0,17822;16,39999962;0,99000001;201;280
0,179008;16;0,99000001;198;272
0,179788;16,20000076;0,660000026;199;274
0,18058;17,20000076;1,320000052;198;274
0,181364;16,39999962;1,320000052;199;272
0,182152;16,20000076;1,320000052;198;273
0,182932;16,20000076;0,99000001;196;273
0,183716;16,20000076;0,99000001;199;273
0,184508;16,39999962;0,99000001;198;272
0,185292;16,20000076;0,99000001;198;272
0,186076;16,20000076;0,99000001;196;273
0,18686;16,20000076;1,320000052;196;273
0,187644;16,39999962;0,660000026;199;274
0,188428;16,79999924;0,660000026;200;275
0,189212;16,39999962;0,99000001;198;272
0,189996;16,39999962;0,99000001;199;272
0,19078;16,20000076;1,320000052;198;273
0,191564;16,20000076;1,649999976;197;274
0,192352;16,20000076;0,99000001;197;274
0,193132;16,39999962;0,660000026;199;274
0,193916;16,60000038;0,99000001;198;272
0,1947;16,79999924;0,99000001;200;276
0,195488;16,20000076;0,99000001;200;272
0,196268;16,20000076;1,649999976;198;273
0,197052;16,20000076;1,320000052;200;274
0,197844;16,39999962;1,320000052;200;273
0,198628;16;0,99000001;198;272
0,199412;16,39999962;0,99000001;198;273
0,200196;16,20000076;1,320000052;199;274
0,20098;16,60000038;0,99000001;197;275
0,201772;16,20000076;0,99000001;198;272
0,20256;16,20000076;0,99000001;198;273
0,20334;16,20000076;1,320000052;197;272
0,204132;16,39999962;0,99000001;198;272
0,204916;16,20000076;1,320000052;198;272
0,205704;16,20000076;0,99000001;197;271
0,206484;16,20000076;0,99000001;197;274
0,207268;16,60000038;0,660000026;198;273
0,20806;16;0,99000001;198;276
0,208844;16,20000076;1,320000052;198;273
0,209628;16,20000076;1,320000052;197;273
0,210412;16,60000038;1,320000052;197;274
0,211196;16,60000038;1,320000052;198;274
0,21198;16,39999962;1,320000052;200;272
0,212764;16,39999962;1,649999976;198;273
