Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
0.130,78.406,-81.256,72.000,78.884,-80.842,70.336,77.284,-0.058,0.000,0.317,0.245,404.1,494.5,35.0,400.0,500.0,10.0,2.866,0.828,-2.496,0.236,0.069,-0.610,1.4,12.4,0.0,-52.8,-110.6,-7.3,0.260,0.045,-0.127,6.40,3.98,-6.85,1.26,0.07,0.84,0.05,0.00,0.09,0.01,0.01,0.00,61.988,559.076,2.004,10.639,3.119,-27.423,0,0,0,0
0.136,78.335,-81.313,72.000,78.857,-80.842,70.335,77.288,-0.136,0.000,0.313,0.242,404.7,493.7,35.0,400.3,499.8,10.0,3.130,0.941,-2.498,0.361,0.090,-0.730,1.4,12.4,0.0,-55.3,-111.6,-7.5,0.294,0.081,-0.128,6.95,4.20,-6.93,1.67,0.18,0.87,0.08,0.00,0.11,0.01,0.01,0.00,63.974,559.076,2.040,16.221,4.056,-32.836,0,0,0,0
0.161,78.263,-81.369,72.000,78.823,-80.842,70.333,77.291,-0.227,0.000,0.309,0.239,405.3,492.9,35.0,400.6,499.6,9.9,3.355,1.054,-2.500,0.505,0.115,-0.852,1.5,12.4,0.0,-56.7,-112.1,-7.6,0.326,0.126,-0.129,7.41,4.42,-6.98,2.05,0.34,0.89,0.12,0.01,0.13,0.02,0.01,0.01,66.436,559.076,2.075,22.719,5.168,-38.311,0,0,0,0
0.177,78.192,-81.425,72.000,78.784,-80.842,70.332,77.294,-0.328,0.000,0.306,0.236,405.9,492.1,35.0,400.9,499.3,9.9,3.556,1.166,-2.503,0.665,0.144,-0.974,1.5,12.4,0.0,-57.3,-112.3,-7.6,0.357,0.178,-0.131,7.80,4.65,-7.02,2.41,0.56,0.90,0.17,0.02,0.15,0.03,0.01,0.01,69.209,559.076,2.109,29.895,6.476,-43.829,0,0,0,0
0.208,78.120,-81.481,72.000,78.743,-80.842,70.330,77.297,-0.436,0.000,0.302,0.234,406.5,491.3,35.0,401.3,499.0,9.8,3.737,1.277,-2.505,0.836,0.178,-1.098,1.6,12.4,0.0,-57.9,-112.5,-7.6,0.386,0.239,-0.132,8.14,4.89,-7.05,2.78,0.83,0.92,0.23,0.04,0.16,0.04,0.02,0.01,72.229,559.076,2.142,37.632,8.000,-49.380,0,0,0,0
0.214,78.048,-81.536,72.000,78.698,-80.842,70.329,77.300,-0.549,0.000,0.299,0.231,407.1,490.5,35.0,401.7,498.7,9.8,3.903,1.387,-2.507,1.019,0.217,-1.222,1.7,12.4,0.0,-58.3,-112.6,-7.6,0.416,0.307,-0.133,8.44,5.14,-7.07,3.15,1.17,0.93,0.29,0.06,0.18,0.05,0.02,0.01,75.444,559.076,2.175,45.826,9.752,-54.954,0,0,0,0
0.240,77.976,-81.591,72.000,78.652,-80.842,70.328,77.302,-0.668,0.000,0.296,0.229,407.7,489.7,35.0,402.1,498.4,9.7,4.058,1.497,-2.509,1.210,0.261,-1.346,1.8,12.4,0.0,-58.5,-112.7,-7.7,0.445,0.381,-0.134,8.72,5.39,-7.09,3.51,1.58,0.94,0.36,0.09,0.20,0.06,0.02,0.01,78.817,559.076,2.207,54.416,11.746,-60.547,0,0,0,0
0.256,77.903,-81.645,72.000,78.603,-80.842,70.326,77.304,-0.792,0.000,0.293,0.226,408.3,488.9,35.0,402.5,498.0,9.7,4.201,1.606,-2.511,1.408,0.311,-1.471,1.8,12.4,0.0,-58.8,-112.7,-7.7,0.474,0.462,-0.135,8.97,5.66,-7.10,3.88,2.05,0.95,0.44,0.14,0.22,0.07,0.03,0.01,82.333,559.076,2.239,63.362,13.980,-66.155,0,0,0,0
0.288,77.831,-81.699,72.000,78.553,-80.876,70.325,77.307,-0.920,-0.136,0.289,0.224,408.9,488.1,35.0,402.9,497.5,9.6,4.335,1.647,-2.513,1.614,0.391,-1.595,1.9,12.4,0.1,-57.9,-110.6,-7.4,0.503,0.493,-0.137,9.21,5.86,-7.11,4.25,2.61,0.96,0.52,0.19,0.24,0.08,0.04,0.01,85.976,559.969,2.270,72.631,17.585,-71.774,0,0,0,0
0.295,77.758,-81.753,72.000,78.501,-80.934,70.324,77.309,-1.051,-0.288,0.286,0.221,409.5,487.3,35.0,403.4,496.8,9.5,4.461,1.637,-2.514,1.827,0.481,-1.721,2.0,12.5,0.1,-59.3,-112.5,-7.7,0.532,0.519,-0.138,9.43,5.90,-7.12,4.63,2.89,0.97,0.61,0.25,0.26,0.09,0.04,0.01,89.734,561.529,2.300,82.200,21.618,-77.402,0,0,0,0
0.319,77.685,-81.806,72.000,78.448,-80.995,70.322,77.310,-1.186,-0.441,0.283,0.219,410.1,486.5,35.0,403.8,496.1,9.4,4.578,1.621,-2.516,2.046,0.571,-1.846,2.1,12.5,0.1,-59.7,-112.8,-7.7,0.560,0.544,-0.139,9.64,5.88,-7.13,5.01,3.06,0.98,0.71,0.31,0.28,0.11,0.05,0.01,93.599,563.160,2.330,92.050,25.678,-83.039,0,0,0,0
0.349,77.612,-81.859,72.000,78.393,-81.056,70.321,77.312,-1.325,-0.592,0.280,0.216,410.7,485.7,35.0,404.3,495.4,9.3,4.689,1.605,-2.518,2.271,0.660,-1.971,2.2,12.6,0.1,-60.0,-112.9,-7.8,0.589,0.569,-0.140,9.85,5.84,-7.13,5.40,3.20,0.99,0.82,0.37,0.30,0.12,0.06,0.01,97.566,564.783,2.359,102.165,29.681,-88.683,0,0,0,0
0.354,77.539,-81.911,72.000,78.337,-81.116,70.324,77.314,-1.467,-0.740,0.274,0.212,411.3,484.9,35.0,404.7,494.7,9.2,4.792,1.591,-2.514,2.501,0.747,-2.088,2.3,12.6,0.1,-60.2,-113.0,-7.8,0.618,0.593,-0.142,10.05,5.79,-7.18,5.80,3.32,1.00,0.94,0.44,0.32,0.14,0.07,0.02,101.629,566.380,2.292,112.532,33.596,-93.920,0,0,0,0
0.379,77.465,-81.964,72.000,78.280,-81.175,70.322,77.315,-1.612,-0.884,0.268,0.207,411.9,484.1,35.0,405.2,494.0,9.0,4.888,1.578,-2.518,2.737,0.832,-2.214,2.4,12.6,0.1,-60.4,-113.0,-7.8,0.646,0.618,-0.144,10.23,5.75,-7.20,6.21,3.44,1.02,1.06,0.51,0.34,0.15,0.08,0.02,105.789,567.944,2.350,123.143,37.420,-99.595,0,0,0,0
0.395,77.391,-82.015,72.000,78.221,-81.232,70.324,77.317,-1.761,-1.026,0.262,0.202,412.5,483.3,35.0,405.7,493.3,8.9,4.978,1.567,-2.515,2.974,0.913,-2.307,2.4,12.7,0.1,-60.7,-112.9,-7.8,0.675,0.643,-0.084,10.41,5.70,-7.26,6.61,3.55,1.04,1.20,0.58,0.36,0.17,0.09,0.02,110.046,569.476,2.303,133.800,41.093,-103.766,0,0,0,0
0.427,77.318,-82.067,72.000,78.161,-81.288,70.321,77.318,-1.912,-1.166,0.255,0.197,413.1,482.5,35.0,406.2,492.6,8.8,5.061,1.557,-2.519,3.208,0.991,-2.392,2.5,12.7,0.1,-61.0,-112.9,-7.8,0.703,0.667,-0.005,10.57,5.67,-7.27,7.03,3.66,0.61,1.34,0.65,0.37,0.18,0.10,0.02,114.395,570.978,2.366,144.315,44.586,-107.594,0,0,0,0
0.442,77.244,-82.118,72.000,78.100,-81.343,70.323,77.320,-2.067,-1.303,0.090,0.070,413.7,481.7,35.0,406.7,491.8,8.7,5.137,1.549,-2.516,3.442,1.064,-2.440,2.6,12.7,0.1,-61.2,-112.9,-7.8,0.705,0.692,0.033,10.73,5.64,-7.33,7.44,3.78,0.04,1.48,0.73,0.37,0.20,0.11,0.02,118.829,572.456,2.320,154.828,47.881,-109.750,0,0,0,0
0.457,77.170,-82.168,72.000,78.038,-81.398,70.321,77.321,-2.224,-1.438,-0.016,-0.013,414.3,480.9,35.0,407.2,491.1,8.6,5.208,1.541,-2.518,3.671,1.133,-2.429,2.7,12.8,0.1,-59.8,-110.8,-7.1,0.686,0.717,-0.006,10.87,5.61,-7.33,7.56,3.90,0.24,1.64,0.80,0.38,0.21,0.12,0.02,123.343,573.914,2.362,165.162,50.965,-109.280,0,0,0,0
0.488,77.095,-82.219,72.000,77.974,-81.452,70.322,77.322,-2.383,-1.572,-0.018,-0.014,414.9,480.1,35.0,407.8,490.4,8.5,5.274,1.534,-2.516,3.894,1.196,-2.448,2.8,12.8,0.1,-61.8,-112.9,-7.9,0.649,0.742,-0.007,11.00,5.59,-7.37,7.46,4.02,0.04,1.79,0.88,0.38,0.22,0.13,0.02,127.930,575.356,2.329,175.172,53.827,-110.125,0,0,0,0
0.495,77.021,-82.269,72.000,77.910,-81.505,70.323,77.323,-2.545,-1.705,0.016,0.012,415.5,479.3,35.0,408.3,489.6,8.3,5.336,1.526,-2.515,4.106,1.259,-2.441,2.9,12.8,0.1,-60.7,-111.3,-7.3,0.595,0.749,0.006,11.12,5.58,-7.37,7.14,4.15,0.05,1.93,0.97,0.38,0.24,0.14,0.02,132.586,576.785,2.308,184.736,56.645,-109.831,0,0,0,0
0.519,76.946,-82.318,72.000,77.845,-81.558,70.323,77.324,-2.651,-1.838,0.014,0.011,416.1,478.5,35.0,408.8,488.9,8.2,5.393,1.519,-2.516,4.278,1.319,-2.454,3.1,12.9,0.1,-62.3,-112.9,-7.9,0.584,0.747,0.005,11.23,5.57,-7.40,6.61,4.18,0.04,2.06,1.05,0.38,0.25,0.14,0.02,137.305,578.203,2.328,192.452,59.322,-110.380,0,0,0,0
0.549,76.871,-82.367,72.000,77.779,-81.611,70.321,77.325,-2.739,-1.969,0.082,0.063,416.7,477.7,35.0,409.4,488.2,8.1,5.446,1.512,-2.518,4.422,1.374,-2.438,3.2,12.9,0.1,-60.9,-110.8,-7.1,0.578,0.736,0.030,11.34,5.55,-7.38,6.56,4.16,0.04,2.19,1.13,0.38,0.27,0.15,0.02,142.083,579.613,2.361,198.932,61.821,-109.690,0,0,0,0
0.555,76.796,-82.416,72.000,77.712,-81.663,70.323,77.326,-2.816,-2.100,0.080,0.062,417.3,476.9,35.0,409.9,487.4,8.0,5.496,1.505,-2.516,4.548,1.425,-2.447,3.3,12.9,0.1,-62.9,-112.9,-7.9,0.575,0.716,0.029,11.43,5.54,-7.41,6.55,4.09,0.22,2.32,1.22,0.39,0.27,0.15,0.02,146.915,581.015,2.320,204.622,64.125,-110.102,0,0,0,0
0.580,76.721,-82.464,72.000,77.645,-81.716,70.321,77.327,-2.885,-2.230,0.079,0.061,417.9,476.1,35.0,410.5,486.6,7.9,5.542,1.498,-2.519,4.662,1.472,-2.455,3.4,12.9,0.1,-63.2,-112.9,-8.0,0.572,0.688,0.029,11.52,5.54,-7.38,6.57,3.97,0.22,2.45,1.30,0.39,0.29,0.16,0.02,151.798,582.411,2.369,209.752,66.215,-110.455,0,0,0,0
0.596,76.646,-82.512,72.000,77.577,-81.767,70.323,77.328,-2.948,-2.359,0.077,0.060,418.5,475.3,35.0,411.0,485.9,7.7,5.586,1.490,-2.515,4.766,1.513,-2.462,3.5,13.0,0.1,-63.5,-112.9,-8.0,0.570,0.653,0.028,11.61,5.53,-7.41,6.59,3.81,0.21,2.59,1.37,0.39,0.29,0.17,0.02,156.728,583.800,2.308,214.428,68.071,-110.776,0,0,0,0
0.626,76.570,-82.560,72.000,77.508,-81.819,70.321,77.329,-3.007,-2.488,0.076,0.059,419.1,474.5,35.0,411.6,485.1,7.6,5.627,1.482,-2.518,4.862,1.549,-2.469,3.6,13.0,0.1,-63.8,-112.9,-8.0,0.568,0.610,0.028,11.69,5.52,-7.39,6.61,3.61,0.21,2.72,1.44,0.40,0.30,0.17,0.02,161.702,585.183,2.356,218.750,69.682,-111.078,0,0,0,0
0.642,76.495,-82.607,72.000,77.439,-81.871,70.324,77.330,-3.061,-2.616,0.074,0.057,419.7,473.7,35.0,412.2,484.4,7.5,5.665,1.473,-2.514,4.952,1.579,-2.473,3.7,13.0,0.1,-64.0,-112.9,-8.0,0.567,0.561,0.027,11.76,5.51,-7.41,6.64,3.37,0.20,2.85,1.51,0.40,0.31,0.17,0.02,166.717,586.560,2.295,222.772,71.034,-111.234,0,0,0,0
0.657,76.419,-82.654,72.000,77.369,-81.922,70.322,77.331,-3.113,-2.743,0.072,0.056,420.3,472.9,35.0,412.7,483.6,7.4,5.701,1.465,-2.517,5.035,1.603,-2.479,3.8,13.1,0.1,-64.3,-112.9,-8.0,0.565,0.505,0.026,11.83,5.50,-7.39,6.66,3.09,0.20,2.98,1.57,0.41,0.32,0.18,0.02,171.772,587.931,2.343,226.526,72.128,-111.506,0,0,0,0
0.688,76.343,-82.701,72.000,77.299,-81.973,70.324,77.331,-3.162,-2.734,0.070,0.054,420.9,472.1,35.0,413.3,482.8,7.3,5.735,1.456,-2.513,5.113,1.597,-2.458,3.9,13.1,0.1,-64.6,-112.9,-8.0,0.564,0.499,0.026,11.89,5.49,-7.39,6.69,2.78,0.20,3.12,1.63,0.41,0.32,0.18,0.02,176.862,589.295,2.281,230.042,71.833,-110.591,0,0,0,0
0.694,76.267,-82.747,72.000,77.228,-82.023,70.322,77.332,-3.208,-2.709,0.069,0.053,421.5,471.3,35.0,413.9,482.0,7.1,5.768,1.447,-2.516,5.187,1.580,-2.464,4.0,13.1,0.1,-64.9,-112.9,-8.1,0.563,0.498,0.025,11.96,5.48,-7.39,6.71,2.74,0.19,3.25,1.68,0.41,0.33,0.18,0.02,181.987,590.653,2.330,233.337,71.091,-110.842,0,0,0,0
0.719,76.190,-82.793,72.000,77.157,-82.074,70.320,77.333,-3.251,-2.681,0.104,0.080,422.1,470.5,35.0,414.5,481.3,7.0,5.798,1.438,-2.519,5.255,1.563,-2.458,4.2,13.2,0.1,-68.3,-116.8,-9.5,0.562,0.498,-0.096,12.01,5.47,-7.37,6.73,2.73,0.19,3.39,1.74,0.42,0.34,0.18,0.02,187.144,592.004,2.377,236.426,70.301,-110.578,0,0,0,0
0.735,76.114,-82.838,72.000,77.085,-82.124,70.323,77.333,-3.292,-2.655,0.102,0.079,422.7,469.7,35.0,415.0,480.5,6.9,5.827,1.428,-2.516,5.320,1.546,-2.463,4.3,13.2,0.1,-65.5,-112.9,-8.1,0.561,0.498,-0.097,12.07,5.46,-7.39,6.75,2.72,0.71,3.52,1.79,0.43,0.36,0.18,0.02,192.331,593.347,2.317,239.320,69.550,-110.808,0,0,0,0
0.765,76.037,-82.883,72.000,77.013,-82.174,70.321,77.334,-3.331,-2.632,0.103,0.079,423.3,468.9,35.0,415.6,479.7,6.8,5.854,1.419,-2.519,5.380,1.531,-2.477,4.4,13.2,0.1,-65.8,-112.9,-8.1,0.560,0.498,-0.097,12.12,5.45,-7.37,6.77,2.72,0.72,3.66,1.85,0.45,0.35,0.17,0.02,197.548,594.684,2.365,242.029,68.865,-111.433,0,0,0,0
0.781,75.960,-82.928,72.000,76.940,-82.223,70.323,77.334,-3.368,-2.610,0.103,0.080,423.9,468.1,35.0,416.2,478.9,6.7,5.880,1.409,-2.515,5.436,1.517,-2.480,4.5,13.2,0.1,-66.1,-112.9,-8.1,0.559,0.499,-0.096,12.17,5.44,-7.40,6.79,2.71,0.71,3.79,1.90,0.46,0.35,0.17,0.02,202.792,596.013,2.305,244.557,68.250,-111.591,0,0,0,0
0.796,75.883,-82.972,72.000,76.867,-82.272,70.321,77.335,-3.402,-2.591,0.105,0.081,424.5,467.3,35.0,416.8,478.1,6.5,5.905,1.399,-2.518,5.488,1.505,-2.490,4.6,13.3,0.1,-66.3,-112.9,-8.1,0.558,0.499,-0.096,12.22,5.42,-7.38,6.81,2.71,0.71,3.93,1.95,0.47,0.36,0.17,0.02,208.062,597.334,2.354,246.912,67.699,-112.032,0,0,0,0
0.827,75.806,-83.016,72.000,76.794,-82.321,70.324,77.335,-3.434,-2.574,0.106,0.082,425.1,466.5,35.0,417.4,477.3,6.4,5.929,1.389,-2.514,5.537,1.494,-2.489,4.7,13.3,0.1,-66.6,-112.9,-8.2,0.557,0.499,-0.095,12.26,5.41,-7.40,6.82,2.71,0.71,4.07,2.01,0.49,0.36,0.17,0.02,213.357,598.648,2.294,249.106,67.199,-111.974,0,0,0,0
0.842,75.729,-83.059,72.000,76.721,-82.370,70.322,77.336,-3.463,-2.558,0.108,0.083,425.7,465.7,35.0,418.0,476.6,6.3,5.952,1.379,-2.517,5.583,1.483,-2.492,4.9,13.3,0.1,-66.9,-112.9,-8.2,0.556,0.499,-0.095,12.31,5.40,-7.38,6.83,2.70,0.70,4.20,2.06,0.50,0.37,0.17,0.02,218.675,599.954,2.342,251.154,66.738,-112.088,0,0,0,0
0.858,75.651,-83.102,72.000,76.647,-82.418,70.324,77.336,-3.491,-2.543,0.040,0.031,426.3,464.9,35.0,418.5,475.8,6.2,5.973,1.368,-2.513,5.625,1.474,-2.492,5.0,13.4,0.1,-67.2,-112.9,-8.2,0.556,0.499,-0.120,12.35,5.39,-7.39,6.85,2.70,0.70,4.34,2.12,0.52,0.37,0.17,0.02,224.016,601.252,2.282,253.068,66.304,-112.121,0,0,0,0
0.890,75.574,-83.145,72.000,76.573,-82.466,70.322,77.337,-3.517,-2.528,0.041,0.031,426.9,464.1,35.0,419.1,475.0,6.0,5.994,1.358,-2.516,5.665,1.465,-2.493,5.1,13.4,0.1,-67.5,-112.9,-8.2,0.555,0.500,-0.119,12.39,5.38,-7.39,6.86,2.69,0.88,4.48,2.17,0.53,0.38,0.17,0.02,229.378,602.541,2.331,254.860,65.886,-112.157,0,0,0,0
0.896,75.496,-83.187,72.000,76.498,-82.514,70.321,77.337,-3.542,-2.514,0.074,0.058,427.5,463.3,35.0,419.7,474.2,5.9,6.014,1.347,-2.518,5.702,1.455,-2.489,5.2,13.4,0.1,-66.1,-110.8,-7.4,0.554,0.499,-0.107,12.42,5.36,-7.37,6.87,2.69,0.88,4.61,2.22,0.55,0.38,0.17,0.02,234.761,603.823,2.361,256.540,65.477,-111.971,0,0,0,0
0.922,75.418,-83.230,72.000,76.424,-82.561,70.323,77.338,-3.565,-2.500,0.075,0.058,428.1,462.5,35.0,420.3,473.4,5.8,6.033,1.336,-2.516,5.738,1.446,-2.489,5.3,13.5,0.1,-68.1,-112.9,-8.2,0.554,0.499,-0.107,12.46,5.35,-7.39,6.88,2.68,0.79,4.75,2.28,0.57,0.38,0.16,0.02,240.164,605.096,2.320,258.121,65.070,-111.972,0,0,0,0
0.937,75.340,-83.271,72.000,76.349,-82.608,70.321,77.338,-3.587,-2.486,0.006,0.004,428.7,461.7,35.0,420.9,472.6,5.7,6.052,1.326,-2.519,5.771,1.437,-2.514,5.5,13.5,0.1,-68.4,-112.9,-8.3,0.553,0.499,-0.132,12.49,5.34,-7.37,6.90,2.67,0.79,4.89,2.33,0.58,0.39,0.16,0.02,245.586,606.361,2.368,259.610,64.661,-113.109,0,0,0,0
0.968,75.262,-83.312,72.000,76.273,-82.655,70.323,77.338,-3.608,-2.472,0.006,0.004,429.3,460.9,35.0,421.5,471.8,5.6,6.070,1.315,-2.515,5.802,1.428,-2.514,5.6,13.5,0.1,-68.7,-112.9,-8.3,0.552,0.499,-0.132,12.53,5.33,-7.40,6.91,2.67,0.97,5.03,2.38,0.60,0.39,0.16,0.02,251.027,607.617,2.308,261.015,64.248,-113.084,0,0,0,0
0.974,75.183,-83.353,72.000,76.198,-82.701,70.321,77.339,-3.628,-2.457,0.006,0.004,429.9,460.1,35.0,422.1,471.0,5.4,6.087,1.304,-2.518,5.831,1.419,-2.514,5.7,13.5,0.1,-69.0,-112.9,-8.3,0.552,0.499,-0.132,12.56,5.31,-7.38,6.92,2.66,0.98,5.17,2.44,0.62,0.40,0.16,0.02,256.485,608.865,2.357,262.345,63.828,-113.079,0,0,0,0
0.999,75.105,-83.394,72.000,76.122,-82.748,70.324,77.339,-3.646,-2.442,0.006,0.004,430.5,459.3,35.0,422.7,470.2,5.3,6.104,1.293,-2.514,5.860,1.409,-2.511,5.8,13.6,0.1,-69.3,-112.8,-8.3,0.551,0.499,-0.132,12.59,5.30,-7.40,6.93,2.65,0.97,5.30,2.49,0.64,0.40,0.16,0.02,261.960,610.104,2.297,263.606,63.402,-112.949,0,0,0,0
1.015,75.026,-83.434,72.000,76.046,-82.793,70.322,77.339,-3.664,-2.428,0.006,0.004,431.1,458.5,35.0,423.3,469.4,5.2,6.121,1.281,-2.517,5.886,1.400,-2.511,5.9,13.6,0.1,-69.5,-112.8,-8.3,0.551,0.499,-0.132,12.62,5.29,-7.38,6.94,2.65,0.98,5.44,2.54,0.66,0.41,0.16,0.02,267.452,611.334,2.345,264.802,62.968,-112.944,0,0,0,0
1.047,74.947,-83.474,72.000,75.970,-82.839,70.324,77.340,-3.681,-2.413,0.005,0.004,431.7,457.7,35.0,423.9,468.6,5.1,6.136,1.270,-2.513,5.911,1.390,-2.495,6.1,13.6,0.1,-69.8,-112.8,-8.3,0.551,0.499,-0.132,12.65,5.28,-7.39,6.95,2.64,0.97,5.58,2.60,0.68,0.41,0.16,0.02,272.959,612.556,2.285,265.942,62.526,-112.243,0,0,0,0
1.063,74.868,-83.513,72.000,75.893,-82.884,70.322,77.340,-3.698,-2.397,0.005,0.004,432.3,456.9,35.0,424.5,467.8,4.9,6.152,1.259,-2.517,5.936,1.380,-2.495,6.2,13.6,0.1,-70.1,-112.8,-8.3,0.550,0.499,-0.132,12.68,5.26,-7.39,6.96,2.63,0.98,5.72,2.65,0.70,0.41,0.16,0.02,278.483,613.768,2.334,267.027,62.077,-112.240,0,0,0,0
1.079,74.789,-83.552,72.000,75.817,-82.929,70.323,77.340,-3.713,-2.382,0.041,0.032,432.9,456.1,35.0,425.1,467.0,4.8,6.167,1.247,-2.515,5.959,1.370,-2.500,6.3,13.7,0.1,-69.1,-111.2,-7.8,0.550,0.499,-0.119,12.71,5.25,-7.38,6.98,2.63,0.98,5.86,2.70,0.72,0.42,0.16,0.02,284.021,614.972,2.307,268.064,61.621,-112.457,0,0,0,0
1.095,74.709,-83.591,72.000,75.740,-82.973,70.323,77.341,-3.728,-2.366,0.041,0.032,433.5,455.3,35.0,425.7,466.2,4.7,6.182,1.236,-2.516,5.981,1.359,-2.500,6.4,13.7,0.1,-70.7,-112.8,-8.4,0.549,0.499,-0.119,12.73,5.24,-7.39,6.99,2.62,0.88,6.00,2.75,0.74,0.41,0.15,0.02,289.574,616.167,2.323,269.056,61.158,-112.455,0,0,0,0
1.127,74.630,-83.629,72.000,75.663,-83.017,70.321,77.341,-3.742,-2.350,0.004,0.003,434.1,454.5,35.0,426.3,465.4,4.6,6.196,1.224,-2.519,6.002,1.349,-2.511,6.6,13.7,0.1,-71.0,-112.8,-8.4,0.549,0.499,0.001,12.76,5.22,-7.37,7.00,2.61,0.88,6.14,2.81,0.76,0.42,0.15,0.02,295.142,617.353,2.371,270.007,60.690,-112.942,0,0,0,0
1.143,74.550,-83.667,72.000,75.585,-83.061,70.323,77.341,-3.756,-2.334,0.004,0.003,434.7,453.7,35.0,426.9,464.6,4.5,6.210,1.213,-2.515,6.022,1.338,-2.510,6.7,13.7,0.1,-71.3,-112.8,-8.4,0.549,0.499,0.001,12.79,5.21,-7.40,7.01,2.61,0.01,6.28,2.86,0.76,0.43,0.15,0.02,300.724,618.530,2.311,270.920,60.215,-112.935,0,0,0,0
1.159,74.470,-83.705,72.000,75.508,-83.104,70.321,77.341,-3.769,-2.318,0.004,0.003,435.3,452.9,35.0,427.5,463.8,4.3,6.224,1.201,-2.518,6.042,1.328,-2.510,6.8,13.8,0.1,-71.6,-112.8,-8.4,0.548,0.499,0.001,12.81,5.20,-7.38,7.02,2.60,0.01,6.42,2.91,0.76,0.43,0.15,0.02,306.319,619.697,2.360,271.799,59.736,-112.938,0,0,0,0
1.190,74.391,-83.742,72.000,75.430,-83.147,70.324,77.341,-3.782,-2.301,0.004,0.003,435.9,452.1,35.0,428.1,463.0,4.2,6.237,1.189,-2.514,6.060,1.317,-2.509,6.9,13.8,0.1,-71.9,-112.7,-8.4,0.548,0.499,0.001,12.84,5.18,-7.40,7.03,2.59,0.01,6.56,2.96,0.76,0.43,0.15,0.02,311.928,620.856,2.300,272.645,59.251,-112.888,0,0,0,0
1.196,74.310,-83.779,72.000,75.352,-83.190,70.322,77.342,-3.795,-2.285,0.004,0.003,436.5,451.3,35.0,428.7,462.2,4.1,6.250,1.178,-2.517,6.079,1.306,-2.509,7.1,13.8,0.1,-72.2,-112.7,-8.4,0.548,0.499,0.001,12.86,5.17,-7.38,7.04,2.59,0.01,6.70,3.01,0.76,0.44,0.15,0.02,317.549,622.005,2.349,273.461,58.762,-112.891,0,0,0,0
1.221,74.230,-83.815,72.000,75.274,-83.232,70.324,77.342,-3.807,-2.268,0.004,0.003,437.1,450.5,35.0,429.3,461.4,4.0,6.263,1.166,-2.514,6.096,1.295,-2.505,7.2,13.9,0.1,-72.5,-112.7,-8.5,0.548,0.499,0.001,12.88,5.16,-7.40,7.05,2.58,0.01,6.84,3.07,0.76,0.44,0.15,0.02,323.184,623.146,2.289,274.250,58.268,-112.683,0,0,0,0
1.236,74.150,-83.851,72.000,75.196,-83.274,70.322,77.342,-3.819,-2.251,0.004,0.003,437.7,449.7,35.0,429.9,460.6,3.9,6.276,1.154,-2.517,6.113,1.284,-2.505,7.3,13.9,0.1,-72.8,-112.7,-8.5,0.547,0.499,0.001,12.91,5.14,-7.39,7.05,2.57,0.01,6.98,3.12,0.76,0.44,0.15,0.02,328.831,624.276,2.338,275.014,57.771,-112.685,0,0,0,0
1.267,74.069,-83.887,72.000,75.117,-83.316,70.324,77.342,-3.830,-2.235,0.026,0.020,438.3,448.9,35.0,430.5,459.8,3.7,6.289,1.142,-2.514,6.130,1.273,-2.509,7.4,13.9,0.1,-72.0,-111.3,-8.0,0.547,0.499,0.010,12.93,5.13,-7.38,7.06,2.56,0.01,7.13,3.17,0.76,0.45,0.14,0.02,334.491,625.398,2.293,275.755,57.270,-112.871,0,0,0,0
1.283,73.988,-83.922,72.000,75.039,-83.357,70.323,77.342,-3.841,-2.218,0.026,0.020,438.9,448.1,35.0,431.1,459.0,3.6,6.301,1.130,-2.516,6.146,1.262,-2.509,7.6,13.9,0.1,-73.4,-112.7,-8.5,0.547,0.499,0.010,12.95,5.12,-7.39,7.07,2.56,0.07,7.27,3.22,0.76,0.44,0.14,0.02,340.163,626.511,2.327,276.475,56.765,-112.872,0,0,0,0
