Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
7.608,43.569,-76.508,72.000,44.749,-77.623,70.324,77.346,-5.322,3.706,-0.012,-0.009,628.5,195.3,35.0,621.2,203.3,-20.9,7.081,-2.230,-2.514,7.121,-2.107,-2.539,53.0,10.5,0.1,-203.2,-105.9,-10.5,0.470,-0.635,-0.139,14.28,-6.41,-7.41,6.73,4.06,0.93,53.78,21.24,6.03,1.44,0.22,0.03,2382.191,473.950,2.291,320.350,-94.800,-114.218,0,0,0,0
7.624,43.463,-76.424,72.000,44.642,-77.544,70.322,77.345,-5.325,3.726,-0.012,-0.009,629.1,194.5,35.0,621.8,202.4,-21.0,7.078,-2.241,-2.517,7.117,-2.118,-2.539,53.1,10.5,0.1,-203.7,-105.9,-10.5,0.470,-0.635,-0.139,14.27,-6.42,-7.39,6.72,4.07,1.03,53.91,21.32,6.05,1.45,0.22,0.03,2388.667,471.902,2.341,320.194,-95.297,-114.215,0,0,0,0
7.639,43.356,-76.340,72.000,44.535,-77.466,70.324,77.346,-5.327,3.746,-0.012,-0.009,629.7,193.7,35.0,622.4,201.6,-21.0,7.074,-2.252,-2.513,7.114,-2.129,-2.513,53.2,10.4,0.1,-204.3,-106.0,-10.5,0.470,-0.635,-0.004,14.26,-6.43,-7.39,6.71,4.08,1.02,54.05,21.40,6.07,1.45,0.22,0.03,2395.141,469.845,2.282,320.038,-95.794,-113.058,0,0,0,0
7.669,43.250,-76.255,72.000,44.428,-77.387,70.322,77.346,-5.330,3.767,-0.012,-0.009,630.3,192.9,35.0,623.0,200.8,-21.0,7.070,-2.263,-2.516,7.110,-2.140,-2.513,53.4,10.4,0.1,-204.9,-106.0,-10.5,0.469,-0.635,-0.004,14.26,-6.45,-7.40,6.70,4.09,0.03,54.18,21.48,6.07,1.45,0.23,0.03,2401.611,467.777,2.332,319.881,-96.290,-113.065,0,0,0,0
7.675,43.143,-76.171,72.000,44.321,-77.307,70.323,77.346,-5.333,3.787,0.040,0.031,630.9,192.1,35.0,623.6,200.0,-21.1,7.067,-2.274,-2.516,7.107,-2.151,-2.491,53.5,10.4,0.1,-203.6,-104.1,-9.9,0.469,-0.635,0.014,14.25,-6.46,-7.38,6.69,4.09,0.03,54.31,21.57,6.07,1.46,0.23,0.03,2408.078,465.700,2.330,319.723,-96.786,-112.084,0,0,0,0
7.701,43.037,-76.085,72.000,44.214,-77.228,70.323,77.346,-5.336,3.807,0.040,0.031,631.5,191.3,35.0,624.2,199.2,-21.1,7.063,-2.284,-2.516,7.103,-2.162,-2.492,53.7,10.3,0.1,-206.0,-106.1,-10.5,0.469,-0.635,0.014,14.24,-6.47,-7.40,6.68,4.10,0.11,54.45,21.65,6.07,1.45,0.22,0.02,2414.541,463.613,2.322,319.565,-97.281,-112.128,0,0,0,0
7.716,42.930,-76.000,72.000,44.107,-77.147,70.321,77.345,-5.338,3.828,0.040,0.031,632.1,190.5,35.0,624.8,198.4,-21.1,7.059,-2.295,-2.519,7.100,-2.173,-2.492,53.8,10.3,0.1,-206.6,-106.1,-10.5,0.468,-0.635,0.014,14.24,-6.49,-7.38,6.68,4.11,0.11,54.58,21.73,6.07,1.46,0.23,0.03,2421.001,461.516,2.372,319.405,-97.776,-112.121,0,0,0,0
7.747,42.823,-75.914,72.000,43.999,-77.067,70.323,77.345,-5.341,3.848,0.040,0.031,632.7,189.7,35.0,625.4,197.5,-21.1,7.055,-2.306,-2.515,7.096,-2.184,-2.495,54.0,10.2,0.1,-207.1,-106.1,-10.6,0.468,-0.635,0.014,14.23,-6.50,-7.40,6.67,4.12,0.11,54.72,21.81,6.08,1.47,0.23,0.03,2427.458,459.409,2.313,319.245,-98.271,-112.247,0,0,0,0
7.763,42.717,-75.827,72.000,43.892,-76.986,70.321,77.345,-5.344,3.869,0.040,0.031,633.3,188.9,35.0,626.0,196.7,-21.2,7.052,-2.317,-2.518,7.093,-2.195,-2.495,54.1,10.2,0.1,-207.7,-106.1,-10.6,0.468,-0.635,0.014,14.22,-6.52,-7.38,6.66,4.13,0.11,54.85,21.90,6.08,1.47,0.23,0.03,2433.912,457.292,2.362,319.084,-98.765,-112.241,0,0,0,0
7.778,42.610,-75.740,72.000,43.785,-76.904,70.324,77.345,-5.347,3.890,0.040,0.031,633.9,188.1,35.0,626.6,195.9,-21.2,7.048,-2.328,-2.515,7.089,-2.206,-2.506,54.2,10.1,0.1,-208.3,-106.2,-10.6,0.467,-0.635,0.014,14.21,-6.53,-7.41,6.65,4.14,0.11,54.98,21.98,6.08,1.47,0.23,0.03,2440.362,455.166,2.303,318.923,-99.259,-112.759,0,0,0,0
